id,name,price,amount,category_id,producer_id,seller_id
0,"Product: Nicole Myers",869298,12,0,0,0
1,"Product: Alexandra Peterson",846645,68,1,1,1
2,"Product: Brandon Jackson",914060,61,2,2,2
3,"Product: Sean Martinez",13501,59,3,3,3
4,"Product: David Mays",340020,39,4,4,4
5,"Product: Robert Curry",786004,12,5,5,5
6,"Product: Brian Williams",402099,44,6,6,6
7,"Product: Derrick Garcia",559065,95,7,7,7
8,"Product: Justin Woods",346423,98,8,8,8
9,"Product: William Fuller",907250,2,9,9,9
10,"Product: Christopher Robinson",159608,65,10,10,10
11,"Product: Troy Dean",182386,56,11,11,11
12,"Product: Tammy Moreno",879583,97,12,12,12
13,"Product: Brian Barnes",101447,46,13,13,13
14,"Product: Michael Hall",842621,25,14,14,14
15,"Product: Alexandra Morgan",365991,8,15,0,15
16,"Product: Janet Wilson",964138,53,16,1,16
17,"Product: Cynthia Smith",551714,85,17,2,17
18,"Product: Heidi Meyers",981387,98,18,3,18
19,"Product: Patrick Lara",590607,95,19,4,19
20,"Product: Brittany Little",799504,12,20,5,20
21,"Product: Cassandra Martinez",804547,78,21,6,21
22,"Product: Deborah Wade",738065,81,22,7,22
23,"Product: Aaron Arnold",187623,73,23,8,23
24,"Product: Sherry Watkins",473476,43,24,9,24
25,"Product: Darlene Griffin",770708,64,25,10,25
26,"Product: Regina Dennis",550688,79,26,11,26
27,"Product: Stacy Rodriguez",635014,51,27,12,27
28,"Product: Kimberly Porter",55911,39,28,13,28
29,"Product: Martha Gomez",939524,77,29,14,29
30,"Product: Colleen Hooper",817451,23,0,0,30
31,"Product: Alexa Lopez",200164,85,1,1,31
32,"Product: Dana Chavez",373388,14,2,2,32
33,"Product: Matthew Bailey",590055,77,3,3,33
34,"Product: Cristina Newman",439936,55,4,4,34
35,"Product: Mark Bryant",483011,64,5,5,35
36,"Product: Keith Perez",709043,45,6,6,36
37,"Product: Mark Moore",876779,86,7,7,37
38,"Product: Yvonne Bates",669447,63,8,8,38
39,"Product: David Lyons",42461,77,9,9,39
40,"Product: Danielle Solomon",429456,15,10,10,40
41,"Product: Taylor Robertson",314368,42,11,11,41
42,"Product: Jimmy Shea",780303,34,12,12,42
43,"Product: Jonathan Hicks",743332,1,13,13,43
44,"Product: Scott Smith",527047,5,14,14,44
45,"Product: Richard Burns",991483,35,15,0,45
46,"Product: Robert Burton",368865,78,16,1,46
47,"Product: Kenneth Garner",26582,90,17,2,47
48,"Product: Taylor Lewis",595285,9,18,3,48
49,"Product: Heather Hill",577970,86,19,4,49
50,"Product: Tyler George",631586,33,20,5,50
51,"Product: Susan Simpson",315805,80,21,6,51
52,"Product: Emily Gonzales",683875,23,22,7,52
53,"Product: Casey Becker",333599,73,23,8,53
54,"Product: Amy Williams",582648,0,24,9,54
55,"Product: Ashley Long",310818,0,25,10,55
56,"Product: Donald Hart",733396,20,26,11,56
57,"Product: Jason Lopez",555079,47,27,12,57
58,"Product: Sherry Hunt",511181,67,28,13,58
59,"Product: Sarah Lee",431160,43,29,14,59
60,"Product: David Perez",838450,91,0,0,60
61,"Product: Robert White",32746,59,1,1,61
62,"Product: Elaine White",554449,64,2,2,62
63,"Product: Adam Hamilton",368874,71,3,3,63
64,"Product: Erica Jones",957746,30,4,4,64
65,"Product: John Miller",649369,31,5,5,65
66,"Product: Jennifer Salazar",998164,0,6,6,66
67,"Product: Mrs. Melissa Gomez MD",388894,80,7,7,67
